time,w1,w2,wb,acc
167,3.328759,-3.008298,0.994648,0.972000
168,3.328759,-3.008298,0.994648,0.972000
169,3.328759,-3.008298,0.994648,0.972000
170,3.328759,-3.008298,0.994648,0.972000
171,3.328759,-3.008298,0.994648,0.972000
172,3.328759,-3.008298,0.994648,0.972000
173,3.328759,-3.008298,0.994648,0.972000
174,3.328759,-3.008298,0.994648,0.972000
175,3.328759,-3.008298,0.994648,0.972000
176,3.328759,-3.008298,0.994648,0.972000
177,3.328759,-3.008298,0.994648,0.972000
178,3.328759,-3.008298,0.994648,0.972000
179,3.328759,-3.008298,0.994648,0.972000
180,3.328759,-3.008298,0.994648,0.972000
181,3.328759,-3.008298,0.994648,0.972000
182,3.328759,-3.008298,0.994648,0.972000
183,3.328759,-3.008298,0.994648,0.972000
184,3.328759,-3.008298,0.994648,0.972000
185,3.328759,-3.008298,0.994648,0.972000
186,3.328759,-3.008298,0.994648,0.972000
187,3.328759,-3.008298,0.994648,0.972000
188,3.328759,-3.008298,0.994648,0.972000
189,3.328759,-3.008298,0.994648,0.972000
190,3.328759,-3.008298,0.994648,0.972000
191,3.328759,-3.008298,0.994648,0.972000
192,3.328759,-3.008298,0.994648,0.972000
193,3.328759,-3.008298,0.994648,0.972000
194,3.328759,-3.008298,0.994648,0.972000
195,3.328759,-3.008298,0.994648,0.972000
196,3.328759,-3.008298,0.994648,0.972000
197,3.328759,-3.008298,0.994648,0.972000
198,3.328759,-3.008298,0.994648,0.972000
199,3.328759,-3.008298,0.994648,0.972000
200,1.908759,-4.468298,1.014648,0.853000
201,1.908759,-4.468298,1.014648,0.853000
202,1.908759,-4.468298,1.014648,0.853000
203,1.908759,-4.468298,1.014648,0.853000
204,1.908759,-4.468298,1.014648,0.853000
205,1.908759,-4.468298,1.014648,0.853000
206,1.908759,-4.468298,1.014648,0.853000
207,1.908759,-4.468298,1.014648,0.853000
208,1.908759,-4.468298,1.014648,0.853000
209,1.908759,-4.468298,1.014648,0.853000
210,1.908759,-4.468298,1.014648,0.853000
211,1.908759,-4.468298,1.014648,0.853000
212,1.908759,-4.468298,1.014648,0.853000
213,3.128759,-3.348298,1.034648,0.988000
214,3.128759,-3.348298,1.034648,0.988000
215,3.128759,-3.348298,1.034648,0.988000
216,3.128759,-3.348298,1.034648,0.988000
217,3.128759,-3.348298,1.034648,0.988000
218,3.128759,-3.348298,1.034648,0.988000
219,3.128759,-3.348298,1.034648,0.988000
220,3.128759,-3.348298,1.034648,0.988000
221,3.128759,-3.348298,1.034648,0.988000
222,3.128759,-3.348298,1.034648,0.988000
223,3.128759,-3.348298,1.034648,0.988000
224,3.128759,-3.348298,1.034648,0.988000
225,3.128759,-3.348298,1.034648,0.988000
226,3.128759,-3.348298,1.034648,0.988000
227,3.128759,-3.348298,1.034648,0.988000
228,3.128759,-3.348298,1.034648,0.988000
229,3.128759,-3.348298,1.034648,0.988000
230,3.128759,-3.348298,1.034648,0.988000
